"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000224411",59.5464702635889,-2.56261434752187,0.492153453182275,-5.20694171899425,1.91978356514403e-07,2.75528937089109e-05
"ENSG00000239390",27.9499737096818,3.12817925853813,0.602214869634677,5.19445702235114,2.05318196102894e-07,2.91636505763472e-05
"ENSG00000196205",686.301248165957,1.93784336661263,0.373570278148127,5.18735959460952,2.13296625354879e-07,2.99877643279543e-05
"ENSG00000238923",30.4056675527553,3.75209732502033,0.72443137390814,5.17936889560516,2.22637816870264e-07,3.09848872811969e-05
"ENSG00000240869",262.915196798552,2.29637414024861,0.44518274817847,5.15827297810744,2.49238067016243e-07,3.42226005384234e-05
"ENSG00000252623",44.8034216093066,2.6175210875985,0.507561620949379,5.1570508477424,2.50869694758366e-07,3.42226005384234e-05
"ENSG00000225972",17.9450290764695,-7.20524739112757,1.39983622527824,-5.14720740970637,2.64392940285627e-07,3.57137836397586e-05
"ENSG00000212559",37.7209912469587,3.92332016537384,0.762637022303964,5.1444134635915,2.68357916841409e-07,3.58974308567081e-05
"ENSG00000196569",30.5837742670452,-4.04819451096462,0.789486248456166,-5.1276314424486,2.93410121225436e-07,3.8871198560039e-05
"ENSG00000201675",130.453118520635,2.46135274495575,0.48066183958659,5.12075755186375,3.04310685642246e-07,3.99313583502748e-05
"ENSG00000222486",156.450386310956,2.44312367940003,0.478167586294698,5.10934607327045,3.23275738406105e-07,4.20197464505596e-05
"ENSG00000251705",234.39650365069,2.06335863949529,0.405019037007954,5.09447322461232,3.49712252446519e-07,4.50311720954032e-05
"ENSG00000116016",17.801881722598,4.38951504735709,0.862395339006538,5.08991044920735,3.58232650495324e-07,4.57011986900424e-05
"ENSG00000260035",10669.8546863402,2.1632502843743,0.425460033488749,5.08449704813814,3.68601500840818e-07,4.65925823723376e-05
"ENSG00000101638",81.6263106661886,2.53338336477022,0.498759923381974,5.07936433142411,3.7869984818994e-07,4.74338773487363e-05
"ENSG00000244514",252.829919211575,2.34617656106429,0.462188405971491,5.07623413039272,3.84988860535563e-07,4.77871758599909e-05
"ENSG00000222971",37.0446841915419,4.33500933165886,0.855014919329324,5.07009788210392,3.97611157858705e-07,4.81879952756155e-05
"ENSG00000199804",118.092808506701,2.59848790345621,0.512553332224416,5.06969273261595,3.9845845908085e-07,4.81879952756155e-05
"ENSG00000169891",28.3219971648534,3.18834040266271,0.628917022347736,5.06957243860357,3.98710368806806e-07,4.81879952756155e-05
"ENSG00000106009",58.9926208566315,2.23347312156319,0.441736627141329,5.05611938049369,4.27873551514611e-07,5.12629721110288e-05
"ENSG00000210195",596.643038781561,2.18889308103129,0.433961948142892,5.0439746857956,4.55959648646257e-07,5.40865025247704e-05
"ENSG00000115414",101.558148328734,-2.78451391808738,0.552200020570152,-5.04258206150073,4.59291682058219e-07,5.40865025247704e-05
"ENSG00000138778",60.5655479305527,-2.51658335855134,0.499507828441077,-5.03812596171995,4.70112036283759e-07,5.48915562365901e-05
"ENSG00000258656",27.6082016712751,-4.8722089304954,0.970322096895973,-5.02122846226159,5.13420473571662e-07,5.9444599032524e-05
"ENSG00000198839",626.750057036928,2.31133709201137,0.460828041587029,5.01561728763606,5.28634639074749e-07,6.06960671430991e-05
"ENSG00000210151",387.448033620958,2.99638341045496,0.598096809888914,5.00986355538576,5.44686390247612e-07,6.20222238415835e-05
"ENSG00000202056",716.815042339001,2.12023164647846,0.425116644011207,4.98741151716133,6.11936304239311e-07,6.90865776934751e-05
"ENSG00000200890",237.436034748587,2.83413437277785,0.56863745187919,4.9840796862954,6.22574198967685e-07,6.90865776934751e-05
"ENSG00000230383",53.3603987413496,-3.58885899669525,0.720067882443139,-4.98405648161741,6.22648908356334e-07,6.90865776934751e-05
"ENSG00000212433",44.2772679730069,2.73960636010054,0.549815224316431,4.9827764655055,6.2678343821196e-07,6.90865776934751e-05
"ENSG00000275014",79.0192192547562,2.68058916791922,0.54001901717903,4.96387920174029,6.90989304989616e-07,7.52713065137401e-05
"ENSG00000218537",31.4395651315826,-3.62381582836893,0.730153821819789,-4.96308547606744,6.93820287940557e-07,7.52713065137401e-05
"ENSG00000200889",30.2293251945953,3.16351320220661,0.639251307711123,4.94877861655654,7.46806303642677e-07,8.03866972780375e-05
"ENSG00000111799",29.3898921492293,-6.06282177053714,1.22694999268815,-4.94137642664148,7.75729756789933e-07,8.28527487523387e-05
"ENSG00000221241",75.913171993108,2.30741032085552,0.467602305969674,4.93455718972688,8.03328051616825e-07,8.49875378949783e-05
"ENSG00000199568",6282.53818732055,2.40679599832913,0.487856259822523,4.93341214726792,8.08053960244023e-07,8.49875378949783e-05
"ENSG00000140538",21.189100214017,3.10397796323235,0.629540302522886,4.93054686219951,8.19997423394827e-07,8.52139142501481e-05
"ENSG00000201216",34.2566313547401,2.80570337759478,0.569115860435205,4.92993355597093,8.2257588875524e-07,8.52139142501481e-05
"ENSG00000200176",76.4647926253598,2.88723955053973,0.589244747526751,4.8998986629213,9.58860990240512e-07,9.80408536061462e-05
"ENSG00000233098",20.3078144243118,-6.41178333526341,1.30865081879511,-4.89953717460462,9.60626740951497e-07,9.80408536061462e-05
"ENSG00000176641",37.0649201002317,2.45222308253284,0.501179211439034,4.89290662214775,9.93575545392666e-07,0.000100657969591325
"ENSG00000241175",337.378224213971,2.12338277572604,0.434117658881486,4.89126100328879,1.00191999247131e-06,0.000100762435447224
"ENSG00000276036",72.3949286604726,2.35044841804776,0.48081942510902,4.8884223375851,1.01647281896813e-06,0.000101485235505383
"ENSG00000244313",60.3133568919741,2.3247376745257,0.476233542666437,4.88150763490843,1.05277846478876e-06,0.000104353825092514
"ENSG00000201968",16.5351344263616,3.5424578227843,0.726197247785309,4.87809315387489,1.07116336812984e-06,0.000104773971303595
"ENSG00000252097",56.5458882749787,2.70959587128384,0.555565878020814,4.87718194813671,1.07612165050201e-06,0.000104773971303595
"ENSG00000280007",412.946648867551,2.2499834807363,0.461392821700916,4.87650300332324,1.07983044891207e-06,0.000104773971303595
"ENSG00000264767",36.3867202577416,2.51568856773271,0.517643493676228,4.8598863860273,1.17453137506639e-06,0.000113165687312341
"ENSG00000200626",148.754304127489,2.0243197284155,0.417153878636121,4.85269305186371,1.21796125857729e-06,0.000116535209865819
"ENSG00000201790",361.58618213165,2.17402827648893,0.449597309953425,4.83550107698407,1.32810655412742e-06,0.000126197600708742
"ENSG00000185885",14.0495184262607,5.19242693624843,1.07452452531885,4.83230192880674,1.34963362930035e-06,0.000127364740715755
"ENSG00000085063",37.794799020804,2.65108415119601,0.5510047370229,4.81136362914033,1.49904000348146e-06,0.000140501858285494
"ENSG00000222741",45.7458951269924,2.83106203361912,0.588622312799067,4.80964104156469,1.51201576538669e-06,0.00014076049469931
